1,1,13
1,2,12
1,3,10
1,4,20
1,5,15
1,6,15
1,7,19
1,8,20
1,9,16
1,10,26
2,1,26
2,2,24
2,3,26
2,4,25
2,5,28
2,6,30
2,7,27
2,8,24
2,9,32
2,10,27
3,1,33
3,2,44
3,3,37
3,4,38
3,5,37
3,6,41
3,7,46
3,8,53
3,9,47
3,10,38
4,1,48
4,2,43
4,3,45
4,4,49
4,5,48
4,6,47
4,7,48
4,8,49
4,9,58
4,10,49
5,1,49
5,2,42
5,3,45
5,4,56
5,5,38
5,6,53
5,7,54
5,8,60
5,9,55
5,10,64
6,1,51
6,2,63
6,3,51
6,4,56
6,5,70
6,6,68
6,7,55
6,8,63
6,9,64
6,10,64
7,1,56
7,2,55
7,3,68
7,4,68
7,5,59
7,6,72
7,7,66
7,8,68
7,9,64
7,10,70
8,1,63
8,2,57
8,3,68
8,4,67
8,5,67
8,6,59
8,7,63
8,8,75
8,9,68
8,10,80
9,1,61
9,2,56
9,3,66
9,4,77
9,5,72
9,6,71
9,7,70
9,8,68
9,9,66
9,10,72
10,1,69
10,2,65
10,3,67
10,4,67
10,5,71
10,6,79
10,7,71
10,8,81
10,9,80
10,10,71
